paragraph,questions
"You may notice I'm not using the letter i.
We will get to why in a moment.
V jk.
Row j, column k.
That's going to be x sub j to the power k.
That's the Vandermonde matrix.
We can compute it in quadratic time.
It has quadratic entries.
We can use the trick we suggested earlier-- compute each term from the previous one by multiplying by xj-- and then we want to compute this matrix-vector product, and you can clearly do it in quadratic time-- I'm just computing each thing correspondingly-- and that's sort of the best you can do without any further assumptions.
So this takes-- if I want to compute this product, that's the coefficients to samples problem.
This is the same thing as computing V times the A vector, so this is a matrix-vector multiplication, which takes n squared time.
OK? On the other hand-- so, that's a problem because we're trying to beat quadratic multiplication, so if we spend quadratic time to convert over here it doesn't matter if this is linear time.
There are two problems.
One is that conversion costs too much.
The other is we don't yet know how to convert backwards.
But this matrix field gives us also the reverse transformation.
If we want to convert samples to coefficients, this is-- the best notation I know is from MATLAB.
How many people know MATLAB? A bunch.
So for you, it's V backslash A, but usually in linear algebra like 18.06 you see you have some matrix V times some unknown vector-- usually it's called x, here it's called a-- and you know the right-hand side.
You want to solve for this.
How do you do it? AUDIENCE: [INAUDIBLE] ERIK DEMAINE: Sorry? AUDIENCE: Multiply by the inverse? ERIK DEMAINE: Multiply by the inverse.
Yeah.
How do you do it in computer science? AUDIENCE: Gaussian elimination.
ERIK DEMAINE: Gaussian elimination.","is there a mistake ? we know V.A = Y ( V - vandermond matrix, A - coefficien matrix, Y - samples matrix) (multiplying by V inverse i.e. V^(-1) both sides) => V^(-1).V.A = V^(-1).Y => A = V^(-1).Y So to go from samples matrix to coefficient matrix we need to do V^(-1).Y right ??"
"So if you want to work with numbers, you have to explicitly tell it, I'm going to work with a number.
So even if you give it the number 5, it's going to think it's the string 5.
Yeah.
That's just how input works.
The next thing we're going to look at is ways that you can start adding tests in your code.
And before you can start adding tests in your code, you need to be able to do the actual tests.
So this is where comparison operators come in.
So here, let's assume that i and j are variables.
The following comparisons are going to give you a Boolean.","Why isn't ""Type a number..."" included in the output, as it is included within the quotation marks?
I dont know if this is entirely true, if i do ""ab"" == ""ba"". the result is false. (She said something about lexicographical)
When comparing string how will it compare a and 1
Why isn't she explaining the comparison of strings via ASCII code?
Could someone please explain what's the difference between the ""+="" and ""=+"" operators?
the nested if prints the quotient of x and y. however, you can't do this if y=0 as you will get a zero division error (if x=0 and y=0, 0/0 can't be evaluated)
on the 40th minute why i has the values 5 7 9 not 5 6 7 8 9 ????? please explain !!!"
"And one problem is that the model becomes too big, um, to train, and then the other problem is that the model has too many parameters, um, and overfitting can quickly become an issue.
So what I wanna discuss next is, er, two approaches, how to reduce the number of parameters of this RGCN-style model, um, using two techniques.
One technique will be to use, uh, block diagonal matrices, uh, and the other one will be to use basis or, uh, dictionary learning as it is called.
So let me first talk about, uh, use of block diagonal, er, matrices.
So the key insight is that we wanna make these Ws- W matrices, the transformation matrices, we wanna make them sparse.","if this is the case, then this approach will require more computation and isnt better than the RGCN approach."
"Notice this is an expression here-- i%2 == 0 is an expression that's going to evaluate to some value.
And as long as this part is something that evaluates some value, it can be anything you want.
And this line here return something tells Python, OK after you have finished executing everything inside the function, what value should I return? And whoever called the function is going to get back that value, and the function call itself will be replaced by that value.
OK so let's look at an example.
I'm going to introduce the idea of scope now.
And scope just means-- is another word for environment.
So if I told you that you could think of functions as little mini-programs, the scope of a function is going to be a completely separate environment than the environment of the main program.","im 12 and i dont understand what is func, help...
so, x = 3 def f(y): print(x) works but def g(y): x =+ 1 does not work. because it's not in the functions scope. so are only operations with a variable out of scope not possible? because in either case it has to know the value of x, whether you print it or whether you do something with it. so why does the second one not work?
when func_a( ) is mapped to z ... then can we write return z instead of return z( ) ?
Is it bad style to use a variable from outside the scope of a function?
when you print(function_name) it just prints out what the function returns?
if suppose the function h() in the last example is called twice, does the ""scope"" remain or is it formed twice? pls help
because it never was used has a print(x) inside the function h(), and doesnt has a return. So it returns None"
"That's great.
It's always going to be the same cost.
Order log n says the cost grows logarithmically with the size of the input.
It's a slow growth, and I'm going to remind you of that in a second.
We saw lots of examples of linear running time-- we're going to see a few more today-- what we call log-linear, polynomial, and exponential.
And the thing I want to remind you is that, ideally-- whoops, sorry-- we'd like our algorithms to be as close to the top of this categorization as we can.
This is actually described in increasing order of complexity.
Something that takes the same amount of time no matter how big the input is, unless that amount of time is a couple of centuries, seems like a really good algorithm to have.","Could you not argue that the intToStr() example is linear with respect to the number of digits in the input number? How do we decide what the input space is when it's ambiguous?
it says ""turns out that the total cost to copy is O(n) and this dominates the log(n) cost due to the recursive calls"" I agree that the cost will be O(n) but not with the part that says ""and this dominates the log(n) cost due to recursive calls"". The following is implied: O(log(n)) + O(n) = O(n), but such addition can't be the case. Log(n) is the amount of recursive calls, which should be used as a multiplicative factor with the amount of steps inside one function call. As was mentioned correctly, the amount of steps in each consecutive function call decreases by factor of 2. Suppose that n = 32; then the amount of function calls is s = log(n) = log(32) = 5. The total steps in all function calls combined is (1 - 1/(2^log(n))) * n = (1 - 1/2)n = (1/2 + 1/4 + 1/8 + ... + 1/2)n = n/2 + n/4 + n/8 + n/16 + n/32 = 32/2 + 32/4 + 32/8 + 32/16 + 32/32 = 0.96875n = 31  n (for large n) --> O(n). I don't see how the addition of log(n) with n is logical in the proof for the code being O(n).
Let's say the time required by a program for input of size n is n+100. If you now go from 10 to 20, for 10, it takes 110 secs. But for 20, it takes 120 secs. For 30, it takes 130 secs. But difference between times for 10 and 20 and between 20 and 30 is same (10). Observe that from 10 to 20, time taken doesn't double. But the difference remains same"
"All objects in Python are going to have a type.
And the type is going to tell Python the kinds of operations that you can do on these objects.
If an object is the number five, for example, you can add the number to another number, subtract the number, take it to the power of something, and so on.
As a more general example, for example, I am a human.
So that's my type.
And I can walk, speak English, et cetera.
Chewbacca is going to be a type Wookie.
He can walk, do that sound that I can't do.
He can do that, but I can't.","will string of length one also be a scalar object in python
Is it only in Python everything is an object?"
"So no one had solved it yet, but it will happen someday I'm sure.
So this gives you a clear sense of what the shapes look like.
So I want to prove these puzzles are NP-hard also by reduction from jigsaw puzzles.
So let's just bring up the picture.
So we just did this reduction.
It actually works in both ways.
They're really the same puzzle.
This does not work so easily in both ways.
But I'm going to take a jigsaw piece.
I'm going to turn it into roughly a square made up of little squares.
I'm not going to work on the half triangles, although I think it wouldn't be any harder.
It's a lot easier to think about square puzzles more like Tetris.","if you solve one problem proven to be NP- Complete, does that also solve PvsNP by default?"
"Now, why would I want to look at the fraction within approximately 200 of the mean? What is that going to correspond to in this case? Well, if I divide 200 by 2 I get 100.
Which happens to be the standard deviation.
So in this case, what I'm going to be looking at is what fraction of the values fall within two standard deviations of the mean? Kind of a check on the empirical rule, right? All right, when I run the code I get this.
So it is a discrete approximation to the probability density function.
You'll notice, unlike the previous picture I showed you which was nice and smooth, this is jaggedy.
You would expect it to be.
And again, you can see it's very nice that the peak is what we said the mean should be, 0.
And then it falls off.
And indeed, slightly more than 95% fall within two standard deviations of the mean.
I'm not even surprised that it's a little bit more than 95% because, remember the magic number is 1.96, not 2.
But since this is only a finite sample, I only want it to be around 95.
I'm not going to worry too much whether it's bigger or smaller.
All right? So random.gauss does a nice job of giving us Gaussian values.
We plotted them and now you can see that I've got the relative frequency.","total area of 40 bins is what i have concluded but why is that the ""fraction within ~200 of mean""??
I did not get the weight parameter in the formula shown at the beginning. It says [1/numSamples]*len(dist). However, numSamples is 1000000 and dist has always a length of 1000000 as well, so the weight will end up as 1. Am I missing something?"
"So this approach use both the feature information about the nodes, as well as, labels of the neighbors, but still, kind of, would depend on homophily-type principle.
And then we talked about loopy belief propagation.
That- that, um, included this label- uh, label-label potential matrix, uh, and, uh, thought about this as collecting messages, transforming messages, and sending a message to the upstream neighbor, as well.
This process is exact and, uh, well-defined on, uh, chain graphs and on trees.
But on graphs with cycles, um, it creates, uh, problems.
However, as I said in practice, cycles tend to be, uh, few or tend to have weak connections, so that in practice, cycles don't, uh, cause, uh, too much problem, and loopy belief propagation is a very strong allegory or a very strong approach for semi-supervised, uh, labeling of nodes, uh, in the graph.
So, um, with this, uh, we have finished the lecture for today.
","Summarising the lecture contents to myself, the majority of thoughts are concerned with potential functions. I suppose, definition of Phi and Psi is the part engineering work that depend on the specific task. It's obviously the most non-trivial step in the belief propagation approach. I'd fancy a couple of examples of how can they be defined in specific tasks."
"So that's the magical transformation we're going to cover, and it is called the fast Fourier transfer.
Fast Fourier transform is the algorithm.
Discrete Fourier transform is that transformation mathematically.
Cool.
So the whole name of the game is converting from coefficient representation to samples, or vice versa.
Turns out they're almost the same, though that won't be obvious for a long time-- till the end of the class.
Any questions before we proceed? Yeah.
AUDIENCE: [INAUDIBLE] multiply repetitions, why not we evaluate a and b first then multiply? ERIK DEMAINE: Ah.","How does one perform FFT on a larger domain consisting of multiple cosets of a multiplicative subgroup of the field? I've heard it can be done but couldn't find any sources that explained how.
So what is the math doing in practical terms? If I understand correctly, it's using the behavior of a signal over time to determine specific properties of that signal at specific moments. Is that correct?
Does anyone have intuition as to why Fourier transforms pop up here?
Okay, we've figured out how to convert between different representations of polynomials, but how do we go from there to the familiar application of the FFT - converting between the time domain and frequency domain? Given a bunch of samples, we want a weighted sum of sinusoids, but what we get here is the coefficients of a polynomial.
is there a mistake ? we know V.A = Y ( V - vandermond matrix, A - coefficien matrix, Y - samples matrix) (multiplying by V inverse i.e. V^(-1) both sides) => V^(-1).V.A = V^(-1).Y => A = V^(-1).Y So to go from samples matrix to coefficient matrix we need to do V^(-1).Y right ??"
"So, um, let me talk about some of these concepts, uh, in a bit more, uh, detail.
So first, I wanna talk about the notion of batch normalization and the goal of batch normalization is to stabilize training of graph neural networks.
And the idea is that given a batch of inputs, given a batch of data points, in our case, a batch of node embeddings, we wanna re-center node embeddings to zero mean and scale them to have unit variance.
So to- to be very precise what we mean by this, I'm given a set of inputs, in our case this would be vectors of, uh, node embeddings.",From the lecture it is not clear how Batch Norm works for the mini-batch.
"And well what is the expected utility from this point on? We are in a chance node, so many things that can happen because I have like nature is going to play and roll its die, and anything can happen.
And they're going to have in transition, S, a, S-prime and with that transition probability, I'm going to end up in a new state.
And I'm going to call it S-prime, and the value of that state- again, expected utility of that state is V pi of S-prime, okay.
All right.
So, okay.
So what are these actually equal to? So I've just defined value as expected utility, Q value as expected utility from a chance node, what, what are they actually equal to? Okay.
So I'm going to write a recurrence that we are going to use for the rest of the class.
So pay attention for five seconds.
There is a question there.
I understand how semantically how pi and v pi are different, in like actual numbers, like expected value- how are they different? So they're- both of them are expected value.
Yeah.
So it's just- one is just a function of state the other one you've committed to one action.
And the reason I'm defining both of them, is to just writing my recurrence is going to be a little bit easier, because I have this state action nodes, and I can talk about them.
And I can talk about how like I get branching from these state action nodes, okay? All right.
So I'm going to write a recurrence.
It's not hard, but it's kind of the basis of the next like N lectures, so pay attention.
So alright.
So V pi of S, what is that equal to? Well, that is going to be equal to 0, if I'm in an end state.
So if IsEnd of s is equal to true, then there is no expected utility that's equal to 0.
That's a easy case.
Otherwise- well, I took policy pi S.
Someone told me, take policy pi S.
So value is just equal to Q, right? So, so in this case, V pi of S, if someone comes and gives me policy pi, it's just equal to Q pi of S, a.","I think the given definition for value-action function (Q(s, action)) is not correct. In fact value function is the summation of value-action functions over all actions."
"There are two kinds.
, Discrete and these when the values are drawn from a finite set of values.
So when I flip these coins, there are only two possible values, head or tails.
And so if we look at the distribution of heads and tails, it's pretty simple.
We just list the probability of heads.
We list the probability of tails.
We know that those two probabilities must add up to 1, and that fully describes our distribution.
Continuous random variables are a bit trickier.
They're drawn from a set of reals between two numbers.
For the sake of argument, let's say those two numbers are 0 and 1.
Well, we can't just enumerate the probability for each number.","Nice. Can I just argue something, there is always an example with coins but I don't think I have ever heard someone just adding a disclaimer that tossing a coin is not a random process. In theory, if you could start the tossing under the same initial conditions you would get the same outcome. So it is possible to get an infinite number of heads if you just manage to toss the coin the same way an infinite number of times (i.e. with the same initial conditions). I don't think that would be too difficult to achieve either. An example of a true random process is nuclear decay of radioactive atoms.
i have one question, for simulation we used different softwares, which method (discrete, continuous or Monte Carlo) is used in CST ( computer simulation technology)
but you didnt define combinatorics for us lol
the next toss is independent of the previous toss ;but there is a different question that can be asked :what is the probability of of x tail(heads) in a row=1/2^x .Two completely different betting strategies
Thank you Professor John guttag. You're a great teacher and reading your book --""introduction to computation and programming with python"" has been a great experience thus far. Please, if you don't mind could you clarify me on this: When is an event said to be truly random? Or better still do we have truly random events? Randomness implies causal nondeterminism and from my little knowledge that's almost nonexistent. Events that yield uncertain outcomes are better delineated as predictively nondeterministic which doesn't imply that they are random but in stead reveals the limitations of our probing instruments and/ or statistical technique in unsheathing the nature of such events and correctly predicting their future states. No event to me qualifies as random, the outcome of coin flips, die throws could sufficiently be predicted to very high degrees of accuracy if only we could be patient enough to understand the physics of the processes - the coin/ die initial position, throwing/ flipping force, air drag, et cetera. So what processes are random?"
"But if they were, then you instantly get a stable set of marriages.
There's another stable set that's not quite so obvious.
And you can check that all of these pairs have no instability.
There's no rogue couples in here when I marry 5 to A and 1 to E.
This is a so-called ""boy optimal"" set of marriages.
It turns out that in this set of marriages, every boy gets the best possible spouse that he could possibly get in any set of stable marriages.
There's no set of stable marriages in which boy 5 gets a more desirable girl than A.
There's no set of stable marriages in which boy 1 gets a girl that's more desirable to him than girl E.
The sad news is that it's simultaneously pessimal for the girls.
That is, each girl is getting their worst possible spouse among all sets of stable marriages.
We'll examine that further in a minute.
But let me just point out that this is more than a puzzle.
I mean, it's fun, and it's a nice puzzle, but it's more than a puzzle.
Because the original case where it was studied or published first was in a paper by Gale and Shapley in 1962.","What if you only want to now if 2 like each other? Not who they prefer but who they would take and if there is a match between two, so that two would take each other? The could also be multiple matches"
"So you had to be the best.
Now if you ended up being tied, you ended up having to play an elimination game.
But the whole purpose of this analysis is deciding whether you still have a chance to make the playoffs or not.
So the goal here is you want an algorithm that is going to look at the standings and decide if your team is alive or not.
Is there a chance of God is great, whatever, everything goes your way, angels in the outfield, right? Are you going to make the playoffs? And so you can be very optimistic.
And you might think that this is a straightforward, I'm going to add up a couple numbers and figure this out.","The last example ,from what I understood allows team NY to win only one game w.r.t the games it plays with the other 5 teams ,but can there be a case where the team wins a game against a team we have not considered and hence not allowed team 5 to still make it ? Please correct me if I am wrong"
"So that edge in there, in G had some capacity c u v which was greater than zero.
But this edge does not exist in G of f, correct? So what can I say? Go ahead.
AUDIENCE: [INAUDIBLE] PROFESSOR: Exactly.
In the original graph, we have saturated this edge-- that was my best throw of the term.
I like that.
And you guys didn't notice, but maybe it'll be on video.
Actually, it won't be on video unfortunately.
But so I got this edge here in the original graph and I didn't get this dotted edge here because the residual capacity was zero.
The original capacity was nonzero.
The residual capacity is zero.
The only reason that happens is because C f u v is zero since if C f u v greater than zero then v would belong to S, not v belonging to T as assumed.
So that's essentially what we've determined here.
So this means that f of u v equals c of u v simply because c f u v equals c u v minus f u v which is 0.
All right, so that's the statement I can make.
Now, I did not have any constraint on u and v.
I just said u belongs to s and v belongs to t.
And for each of those things, I know that I can't have edges in the residual network between u and v which means that any edge that exists-- maybe there's no edge in the original network, but if there was an edge in that original network it's saturated according to this argument.
So every edge from S to T in the original network is saturated, and that essentially means that I've gotten to the capacity of my cut.
That's essentially what that means.
If I've saturated every edge, I've reached that capacity.
OK, so that's it.
All you do once you recognize that you had an arbitrary choice of u and v, you just say summing over all u belonging to s and v belong to t yields f of S T equals c of S T.","max flow |f| = some c(S,T) cut..... not any I think. some (S,T) cut may have a larger capacity which is okay since all we need id f < any (S,T) cut. here , he just showed that there is always some (S,T) cut out there such that |f| = capacity of that (S,T) cut. did I make sense?"
"So we'll start at node S.
What are our choices at node S? Well, I'm going to force you guys to help.
So it won't be quite as fast, but it'll be fun.
So what are our choices at node S? You.
AUDIENCE: Me? PROFESSOR: Yes.
AUDIENCE: A or B? PROFESSOR: Not quite, and this is something I like about this problem.
You got most of them.
Do you see that there might be another choice? Everyone? Yeah, C.
This is a big problem that has happened on a few different quiz problems where there's a sort of a grid that looks like a tree, or a graph that looks like a tree, where people aren't as willing to go up as they are to go down.","Hi, Is there anyone who knows and can explain how he came up with the choice tree using the table? Thanks in advance..."
"But, um, I don't know.
If, if you've taken a calculus class a while back, you may remember that the derivative of a function is, you know, defines the direction of steepest descent.
So it defines the direction that allows you to go downhill as steeply as possible, uh, on the, on the hill like that.
There's a question.
How do you determine the learning rate? How do you determine the learning rate? Ah, let me get back to that.
It's a good question.
Uh, for now, um, uh, you know, there's a theory and there's a practice.
Uh, in practice, you set to 0.01.
[LAUGHTER].
[LAUGHTER] Let me say a bit more about that later.
[NOISE].
Uh, if- if you actually- if- if you scale all the features between 0 and 1, you know, minus 1 and plus 1 or something like that, then, then, yeah.","why in cost function he did 1/2 and not 1/2*m ?
I don't really understand what you mean by 1/2m. However, from my understanding, the 1/2 is just for simplicity when taking the derivative of the cost ftn the power 2 will be multiplied to the equation and cancellyby the half."
"So this is equal to the summation over j of the expectations of these individual ones.
One of these j's is the same as i.
j loops over all of the things from 0 to u minus 1.
One of them is i, so when xhi is hj, what is the expected value that they collide? 1-- so I'm going to refactor this as being this, where j does not equal i, plus 1.
Are people OK with that? Because if i equals-- if j and i are equal, they definitely collide.
They're the same key.
So I'm expected to have one guy there, which was the original key, xi.
But otherwise, we can use this universal property that says, if they're not equal and they collide-- which is exactly this case-- the probability that that happens is 1/m.
And since it's an indicator random variable, the expectation is there are outcomes times their probabilities-- so 1 times that probability plus 0 times 1 minus that probability, which is just 1/m.
So now we get the summation of 1/m for j not equal to i plus 1.
Oh, and this-- sorry.
I did this wrong.","Can someone explain how it's possible for the universal hashing function to make the probability of two keys hashing to the same value be less than or equal to 1/m, for ALL keys? Wouldn't the perfect case be that after hashing, the keys are uniformly distributed, in which case the probability should be equal to 1/m? I think I'm missing something here but for the probability of a pair, to be hashed to the same value, to be less than 1/m, wouldn't that imply another pair is necessarily greater than 1/m?"
"The problem was that Russell came along and looked at Frege's set theory, and came up with the following paradox.
He defined W to be the collection of s in sets such that s is not a member of s.
Frege would certainly have said that's a well defined set, and he will acknowledge the W is a set.
And let's look at what this means.
This is a diagonal argument.
So let's remember, by this definition of W, what we have is that a set s is in W if and only if s is not a member of s.
OK, that's fine.
Then just let s be W.
And we immediately get a contradiction that W is in W if and only if W is not in W.","Why does he call it ""self-application,"" exactly? I'd call it self-reference, where the self-reference defines the entity itself. I'm referring to the vicious circle principle, and I hope someone comments on this, because it is a genuine question. I'm not understanding this, or saying it exactly correctly, I think."
"You do a merge.
So what do you have? So here you have B minus 2, and here you have B minus 1.
And you get 2B minus 3.
Well, you've got another element.
You also take the parent.
So how do you do the merge.
I just want to show you the merge first.
So the way you do it is you move the parent down, and you merge these two.
Seems OK? So you move the parent node down and merge these two.
And, well, now this comes together, and this points into the new node.
Sort of clear what's going on? Questions? Yes? AUDIENCE: So now the parent is underfull? PROFESSOR: Well, so you have-- yeah, exactly.
So you have decreased the size of the parent, so it might be underfull.
So you propagate.
Anything else? AUDIENCE: So are these all different techniques for doing that? PROFESSOR: So there are two cases.
So either you have a sibling which has extra nodes to donate to you or you don't.
If you don't, then you have to do this.
AUDIENCE: But what about that case? Or is that just like-- PROFESSOR: No, that is moving it down to the leaf.
Once you move the deletion down to the leaf, so here we have something now.
And now you move it all the way back up.","isnt his definition wrong though? in CLRS 3rd edition page 489 the definition for internal nodes of degree t is: t <= num children <= 2t
so how can it adjust 19 children in it there"
"Of course, I'm not going to just go with one.
I want to put a whole bunch of stuff in there.
So I'll just run a bunch more simulations.
No [? dice.
?] I don't even have an entry at all yet for T F here.
That's because I haven't run enough data.
So let me clear it instead of doing it one at a time.
Let me run 100 simulations.
See, it's still not too good.
Because it says this T T probability true.
This just because I'm feeding it data, right? And I'm keeping track of what the data elements tell me about how frequently a particular combination appears.","Can you use the same data both for estimation of the probabilities, and for model checking?"
"So for a matrix-vector operations, first we're gonna consider operations where you have a matrix, let's call it a and a vector, call it x, and this, let's call it M by N, and this is, uh, n.
So A belongs to R_m by n, and x belongs to R_n.
Right? So this is- um and- and so A_x is now of dimension.
[inaudible] A + 1, mm-hm.
So how do you think about, um, this operation? So first you can, um, um, think of, uh, the matrix as a set of rows, right? So each row has n elements.
Right? And the vector you're multiplying it is a column vector.
And all you're doing is the inner product, right? Take the first row, get the inner product with the matrix, and you get a scalar, right? Take the second row do the inner product, you get another scalar.
And you're gonna get as many number of scalars as the number of rows you have in the matrix, right? So- so Ax R_m.
You can write this as m by one but, you know, um, we assume vectors are column vectors.
So if I write just, you know, R_m, you know, just assume it's- it's um, m by 1 if you want to think of it that way.
Another interpretation of, um, matrix-vector, um, multiplication is- it's the same matrix, except you're gonna think of them as columns.
Okay? m by n.
This is n, so this is A and this is x.
So this has- I'm just gonna use different symbols.","Is there a specific relationship between column space of a matrix and number of eigen vectors? Can the latter be greater than the former? Is there a relationship between rank, columnspace and eigenspace?
Rank is the number of independent vectors. Or the number of vectors generating the span. Or simply the d of the system. If rank of the system or matrix is 3, it mean we have 3 independent vectors which had created the system. Column space and Eigen space has no such relationship. Atleast I am unaware. If you know, please let me know."
"And so, lifting Gamma up, maximizing Gamma has effective maximizing the worst-case examples geometric margin, which is, which is, which is how we define this optimization problem, okay? Um, and then the last one step to turn this problem into this one on the left, is this interesting observation that, um, you might remember when we talked about the functional margin, which is the numerator here, that, you know, the functional margin you can scale w and b by any number and the decision boundary stays the same, right? And so, you know, if- if your classifier is y, so this is g of w transpose x plus b, right? So if- let's see the example I want to use, uh, 2, 1.
If w was the vector 2, 1- [NOISE] Let's say that's the classifier, right? Then you can take W and B, and multiply it by any number you want.","Question for the kind hearted people who understood: in the geometric margin, y is either 1 or -1 right? But wasnt it mentioned before that y is either 1 or 0? I got a little messed up on that."
"AUDIENCE: 128 raised to 2/3 maybe? SRINI DEVADAS: Yeah, yeah.
Two thirds.
Exactly right.
So what you want to do is, you want to start-- it makes sense that when you have lots of balls, in terms of being able to use them, that you start with larger intervals and you shrink them.
That's exactly what happened with two balls.
You started with k in the case where we had two balls.
And then we are down to one when we have one ball.
So that's really what you're doing.
When you have one ball, all you can do is go one floor at a time.
When you have two balls, you go k, where k happened to be square root of n.
And then we had three balls, you kind of want to start with like n raised to 2/3 in terms of the interval.
And then if I had four balls, the argument would be that I would start with n raised to 3/4.
And then I would go to square root of n.",How do u generalize if we have 4 (or more) balls... penta-numbers in 4D space? ;-)
"And if at any point, you're fine, you look at the parent node and go, OK, that's fine.
That's in the range.
But every time it overflows, you can keep going.
And how many times can you do this? You can do this all the way up to the root.
And when you reach the root, either it's fine or the root is too big.
It's reached 2B minus 1.
And then you split the root, and you get one single [INAUDIBLE] up there.
So that, in answer to your question, that is why you need that property in some sense.
Not a very convincing argument, but sort of.
So let's actually do an insertion in this tree we have here.
So we are going to insert 16.
So 16 comes in here.","In the Cormen textbook, section 18.1, it is written that if a node has 2*B-1 keys then it is called ""full node"" and once the # keys become 2*B then split occurs. But in this lecture, split occurs at 2*B-1 itself as here max # keys should be strictly less than 2*B-1. So practically which one to prefer is the confusion here 
can someone explain why in the last bit we chose to rotate 17 on the left over 30 on the right? thxxxxx in advance!
I think the reason to use these trees is balancing! Near the beginning, he asks ""Why use B-trees over Binary Search Trees"". He then explains something about avoiding reading memory from disk. This is not the reason I was taught in my class. The reason I was taught, is that these trees will stay balanced. With a Binary Search Tree, the algorithm of insert could result in the tree being extremely deep on one branch and very shallow on others. This means you will not actually get log(n) performance, since most of the data is in longer branches.
B is defined as the branching factor. By definition, this establishes a bound on the number of children: [B,2B) and hence a bound on the number of keys: [B-1, 2B-1]. You can what B is by taking the floor of lg(# of children in any branch)....(correct me if im wrong here...)
Any one please explain how its no of children B<= No children < 2B . When B=10 it can have macimum of 11 children . then ???
isnt his definition wrong though? in CLRS 3rd edition page 489 the definition for internal nodes of degree t is: t <= num children <= 2t
so how can it adjust 19 children in it there
Why log n? shouldn't it be log n base 3"
"Okay? So I'm going to say, I get a 4 but then after that point I'm actually just going to substitute this 11 in.
Okay? This is kind of weird, right, because normally I would just see, okay, what would happen? But what happens is kind of random.
On average it's going to be right but, you know, on any given case, I'm gonna get, like, you know, 24 or something.
And the, the hope here is that by using my current estimate which isn't going to be right because if I were, if it were right I would be done but hopefully it's kind of somewhat right and that will, you know, be, you know, better than using the, the kind of the raw, rollout value.
Yeah, question.
You, you would update your current estimate at the end of each episode, correct? Uh, yeah.
So the question is, would you update the current estimate, um, after each episode? Yeah.
So all of these algorithms, I haven't been explicit about it, is that you've seen an episode, you update, uh, after you see it and then you get a new episode and so on.
Yeah.
Sometimes you would even update before you're done with the episode, uh.
[NOISE] Okay.
So, uh, let me show this, uh, what, um, this algorithm.","I think it should be (4+8+16)/3, as I believe their last run has four 4 values."
"Um, I want to mention- before we wrap up, I want to mention one, one unusual fun fact about LQR and this is very specific to LQR.
Uh, and, and, and it's convenient, uh, but, but, er, let me say what the fact is and just be careful that this doesn't give you the wrong intuition because it doesn't apply to anything other than LQR, which is that if you look at where, um, so first, if you look at the formula for L, ah, let me see.
Move this around.
[NOISE] All right.
If you look at the formula for L_t, you need to compute, I mean the, you know, the goal of doing all this work is to find the optimal policy.
Right? So you want to find L_t so that you can compute the optimal policy.
You notice that L_t, um, just depends on Phi but not Psi.
Right? Um, so, you know, and, and maybe it's gonna make sense.
You're going to- when you take an action, you get to some new state and your future payoffs is a quadratic function plus a constant.
It doesn't matter what that constant is.
Right? And so in order to compute the optimal action, in order to compute L_t, you need to, you need to know Phi or actually Phi T plus 1 but you don't need to know what is Psi T plus 1.","max is applied for both the terms and to understand what expectation of quadratic function turns out be it is considered separately leaving out the first term. But it is true that he did not mentioned the 1st term when solved for a_t , but ig the result is when it is included"
"This times 1 is going to produce something that's non-zero, and then all of the other ones are going to produce 0.
So I'm just adding a bunch of 0's to this non-zero multiplied by one.
So I'm going to get something that's non-zero.
Right? All make sense? So I'm going to see something here, which is the jth entry that's not equal 0.
And so that implies that Dv is not equal to 0.
And in particular, what I'm saying is Dv of j-- so if I just look at that entry that is identically Dij, which is not equal to 0.
Because I'm multiplying it by 1 and I'm adding a bunch of 0's to it.
That's it.
OK.
Yeah.
A question.",Wasn't the professor correct in making the jth value 1 instead of the ith value as pointed out by one of the students?
"Well, height over the width.
And so we know that the derivative of del- f prime, that's the derivative of f at the point theta 0, that's equal to the height, that's f of theta, divided by the horizontal.
Right? So the derivative, meaning the slope of the red line is by definition the derivative is this ratio between this height over this width.
Um, and so delta is equal to f of theta 0 over f prime of theta 0.
And if you plug that in, then you find that a single iteration of Newton's method is the following rule of theta t plus 1 gets updated as theta t minus f of theta t over f prime of theta t.",can anyone explain me where that x came from in the final equation of gradient ascent
"And you can see that the first two or three lines of code are the trivial case of two elements that needed to be sorted.
So let's go back and forget that.
Let's look at this picture and think about how you'd break this up.
How would I bring this up? So think two-dimensionally.
And merge sort was a single dimension.
OK, think two dimensional.
This is two dimensional.
This is a two-dimensional problem.
It's in that sense, closer to N-queens.
But merge sort was simply a single dimension.
All right, I see Kevin had-- Fadi had his hand up.
Kevin has a hand up.",the merge sort code shown only works on arrays are a length of a power of 2. Adding another condition for len(L) == 1 in mergeSort that returns a single element array and a 2 element array will take care of the general case. Otherwise you'll get stuck in an endless recursion loop since it can't handle the base case of a 3 element array.
